Timestamp,X,Y,Z
20250207110619,12921,-6632,11534
20250207110620,9452,-5297,12467
20250207110621,3545,-7048,13674
20250207110622,11,749,16956
20250207110623,34,-7842,14667
20250207110624,95,-8864,14061
20250207110625,3231,-13319,11114
20250207110626,5631,-5791,13379
20250207110627,12530,774,10720
20250207110628,12682,7371,6632
20250207110629,14473,10425,1953
20250207110630,14423,7702,1577
20250207110631,14083,7357,1638
20250207110632,14474,7240,1758
20250207110633,14546,7103,1784
20250207110634,14849,6973,1906
20250207110635,14632,6859,1981
20250207110636,14662,6808,1993
20250207110637,14680,6799,2019
20250207110638,14637,6710,2054
20250207110639,14710,6716,2065
20250207110640,14741,6677,2107
20250207110641,14750,6577,2137
20250207110642,14918,6602,2136
20250207110643,14750,6531,2164
20250207110644,14815,6516,2166
20250207110645,14823,6505,2221
20250207110646,14806,6410,2236
20250207110647,14819,6444,2252
20250207110648,14859,6399,2266
20250207110649,14873,6408,2234
20250207110650,14867,6382,2287
20250207110651,14859,6358,2287
20250207110652,14847,6331,2272
20250207110653,14862,6307,2288
20250207110654,14853,6325,2311
20250207110655,14890,6274,2308
20250207110656,14880,6299,2286
20250207110657,14862,6241,2312
20250207110658,14870,6219,2369
20250207110659,14901,6217,2315
20250207110700,14914,6234,2318
20250207110701,14889,6201,2342
20250207110702,14888,6184,2368
20250207110703,14932,6162,2341
20250207110704,14937,6166,2366
20250207110705,14885,6146,2350
20250207110706,14894,6210,2381
20250207110707,15007,6129,2394
20250207110708,14924,6161,2316
20250207110709,16893,3005,-1825
20250207110710,17979,4909,143
20250207110711,15032,6510,8931
20250207110712,17302,6323,5547
20250207110713,13172,-242,1663
20250207110714,19528,6065,-1327
20250207110715,12820,5357,1790
20250207110716,15175,5057,4946
20250207110717,12716,3651,7077
20250207110718,-1151,13811,16379
20250207110719,-8394,-6781,-7393
20250207110720,-11449,-16240,1972
20250207110721,2505,-8729,16767
20250207110722,-67,-3357,16219
20250207110723,911,-4783,16287
20250207110724,-95,-4316,16089
20250207110725,-127,-4069,16132
20250207110726,-138,-4105,16037
20250207110727,-176,-4143,16029
20250207110728,-200,-4175,16012
20250207110729,-158,-4163,16046
20250207110730,-181,-4128,16027
20250207110731,-193,-4119,16007
20250207110732,-207,-4084,16040
20250207110733,-271,-4062,16075
20250207110734,-269,-4081,16058
20250207110735,-290,-4022,16071
20250207110736,-285,-3975,16083
20250207110737,-298,-3942,16085
20250207110738,-361,-3916,16048
20250207110739,-314,-3879,16089
20250207110740,-362,-3900,16121
20250207110741,-357,-3900,16089
20250207110742,-407,-3830,16094
20250207110743,-405,-3881,16101
20250207110744,-392,-3766,16139
20250207110745,-414,-3686,16116
20250207110746,-490,-3680,16140
20250207110747,-352,-3803,16106
20250207110748,-291,-3807,16120
20250207110749,-540,-3936,16346
20250207110750,19,-5611,15595
20250207110751,722,-12205,10636
20250207110752,-84,-4013,16028
20250207110753,-116,-3765,15587
20250207110754,-50,-3274,16372
20250207110755,-247,-4953,15600
20250207110756,-536,-3511,16194
20250207110757,-12020,-1345,16345
20250207110758,-608,-3877,16054
20250207110759,-384,-4266,16000
20250207110800,-349,-4406,15926
20250207110801,-320,-4513,15935
20250207110802,-312,-4541,15923
20250207110803,-292,-4603,15925
20250207110804,-281,-4652,15922
20250207110805,-273,-4666,15863
20250207110806,-283,-4664,15883
20250207110807,-269,-4679,15823
20250207110808,-244,-4683,15890
20250207110809,-248,-4735,15861
20250207110810,-284,-4717,15841
20250207110811,-252,-4770,15847
20250207110812,-244,-4709,15884
20250207110813,-309,-4682,15872
20250207110814,-238,-4723,15898
20250207110815,-245,-4739,15876
20250207110816,-271,-4693,15882
20250207110817,-220,-4739,15896
20250207110818,-235,-4711,15878
20250207110819,-292,-4748,15845
20250207110820,-238,-4718,15870
20250207110821,-301,-4682,15862
20250207110822,-321,-4670,16119
20250207110823,-311,-4672,15900
20250207110824,-272,-4680,15877
20250207110825,-288,-4706,15871
20250207110826,-292,-4723,15860
20250207110827,-313,-4680,15879
20250207110828,-294,-4687,15866
20250207110829,-298,-4644,15862
20250207110830,-309,-4698,15890
20250207110831,-322,-4639,15868
20250207110832,-315,-4663,15877
20250207110833,-293,-4642,15916
20250207110834,-272,-4636,15861
20250207110835,-314,-4644,15872
20250207110836,-312,-4629,15865
20250207110837,-302,-4646,15908
20250207110838,-316,-4635,15937
20250207110839,-303,-4624,15903
20250207110840,-338,-4857,15914
20250207110841,-328,-4606,15950
20250207110842,-324,-4637,15916
20250207110843,-354,-4583,15882
20250207110844,-358,-4574,15882
20250207110845,-323,-4565,15908
20250207110846,-341,-4550,15911
20250207110847,-332,-4555,15894
20250207110848,-364,-4578,15914
20250207110849,-374,-4550,15898
20250207110851,-401,-4537,15934
20250207110852,-369,-4545,15899
20250207110853,-450,-4528,15922
