_id,_rev,x,y,z
,,0.37,-0.37,0.06
,,0.37,-0.37,0.12
,,0.43,-0.37,0.06
,,0.43,-0.37,0.06
,,0.43,-0.37,0.06
,,0.37,-0.37,0.12
,,0.43,-0.37,0.06
,,0.43,-0.37,0.06
,,0.37,-0.37,0.06
,,0.37,-0.37,0.12
,,0.43,-0.37,0.12
,,0.43,-0.37,0.06
,,0.37,-0.37,0.06
,,0.43,-0.37,0.12
,,0.43,-0.37,0.12
,,0.43,-0.37,0.06
,,0.43,-0.37,0.06
,,0.43,-0.37,0.12
,,0.43,-0.37,0.06
,,0.43,-0.37,0.12
,,0.43,-0.37,0.06
,,0.43,-0.37,0.06
,,0.43,-0.37,0.06
,,0.43,-0.37,0.06
,,0.43,-0.37,0.06
,,-0.06,-0.37,-0.06
,,0.61,-0.49,0.12
,,0.49,-0.37,0.12
,,0.31,-0.24,0.0
,,0.43,-0.43,0.18
,,-0.18,-0.31,0.18
,,0.0,-0.49,0.37
,,-0.98,-0.31,-0.12
,,-0.37,-1.28,-0.18
,,1.16,-0.49,0.55
,,1.53,-0.12,0.67
,,0.61,-0.31,0.12
,,1.77,-0.79,0.12
,,0.49,-0.37,0.06
,,0.49,-0.37,0.06
,,0.0,-0.55,-0.12
,,0.18,-0.43,-0.06
,,0.06,-0.31,0.06
,,0.06,-0.24,0.0
,,0.37,-0.37,0.12
,,0.43,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.43,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.06
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.43,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.43,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.43,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.43,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.43,-0.37,0.12
,,0.31,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,43.27,55.11,102.36
,,-78.92,-4.64,-44.01
,,-121.28,34.3,275.63
,,200.26,-133.24,121.83
