_id,_rev,x,y,z
7864751d752e715b4959f9bb4102d96b,1-85645429346ee85ecd20ac1de92abb6a,-0.92,-0.37,0.12
7864751d752e715b4959f9bb4102e905,1-4a713564220222d16f1ce11015f2c0a9,-1.04,-0.37,0.06
7864751d752e715b4959f9bb4102edb7,1-46e3cdb5dab62a655f2f9aee12ad4948,-1.04,-0.37,0.12
7864751d752e715b4959f9bb4102f52d,1-03ff66c899bc25ea50a544248de596e4,-1.16,-0.37,0.12
7864751d752e715b4959f9bb4103034c,1-5508148a6b9ed2b72c19aa4ce6d0426d,-1.1,-0.37,0.12
7864751d752e715b4959f9bb410310c4,1-178e9f8207d09e39bb58740f53844555,-1.22,-0.37,0.06
7864751d752e715b4959f9bb41031197,1-1375c7205045f33b6a4117e1c2950b80,-1.16,-0.37,0.06
7864751d752e715b4959f9bb41031717,1-4803683508653e803946065649a9b26b,-1.46,-0.43,0.06
7864751d752e715b4959f9bb41031b75,1-59e53f563e1357fbb267746cac993e96,-1.46,-0.37,0.12
7864751d752e715b4959f9bb41031ba9,1-5e9f9dfcc489cf46f8f70bec045ecdc6,-1.77,-0.43,0.12
7864751d752e715b4959f9bb41031db6,1-1f3d5ea1bd31b75815af5dbe1d083890,-1.59,-0.43,0.06
7864751d752e715b4959f9bb41032721,1-28892a28469f602f6b5f5d6d0b534669,-4.09,-0.79,0.43
7864751d752e715b4959f9bb4103284f,1-cc2e97d66a3154562a4b6016753d40f0,1.16,-0.31,0.0
7864751d752e715b4959f9bb41032be9,1-4fd89daa3786692a26c7eea3c6e5983d,-1.1,-0.49,0.06
7864751d752e715b4959f9bb41032e23,1-6cae4fc1d7d2168289542ff7e54e6c30,1.89,-0.31,-0.06
7864751d752e715b4959f9bb41033593,1-888a2478010924f8519ee6e1b9e26d79,-5.07,-0.37,0.12
7864751d752e715b4959f9bb410339f0,1-30997e3ae4039e32e8ef371bd3e8969f,-0.55,-0.37,0.06
7864751d752e715b4959f9bb41033c9f,1-c91887ac49986289fcdea9a58332797d,0.31,-0.37,0.06
7864751d752e715b4959f9bb41033d47,1-dce1c257da2cea88b3dee0a712246c20,-0.92,-0.37,0.06
7864751d752e715b4959f9bb41034ccd,1-cba35f663d9e82768dae459ed070cc3b,0.06,-0.37,0.0
7864751d752e715b4959f9bb410358b9,1-82e5d345e0e3b297d4bcbd59c40f25b0,-0.73,-0.37,0.12
7864751d752e715b4959f9bb41035b34,1-f389fa23c93065bcb2cac963b4bf8450,-0.31,-0.37,0.06
7864751d752e715b4959f9bb41035d64,1-6a1e7d9c832318f408b004a332eed20e,-1.34,-0.43,0.18
7864751d752e715b4959f9bb4103653f,1-ecbe898643f950ab310059deb0c77f39,-2.08,-0.37,0.06
7864751d752e715b4959f9bb410373b5,1-79860d7df0fcded0bcb16b1700e22e69,-0.98,-0.37,0.06
7864751d752e715b4959f9bb41038296,1-3be625b59088d98b8325cedc69307007,-0.18,-0.49,0.06
7864751d752e715b4959f9bb41038b6e,1-e25ffbaba3b7f31c0bbe2ff99beb670b,-0.37,-0.31,-0.18
7864751d752e715b4959f9bb41038bf1,1-af471f60c4f72119cfcd5ddb24d8da10,-0.73,-0.37,0.06
7864751d752e715b4959f9bb410393da,1-e29c9ba5ce1de825d64324a8ec0f1c7a,-0.12,-0.37,0.06
7864751d752e715b4959f9bb410395d8,1-a51e16999b1e0cfc3b89fd8d53c4aa3d,-0.37,-0.37,0.06
7864751d752e715b4959f9bb41039e73,1-0338e53347e63b24eb8a2b1c1abe7cf0,0.0,-0.37,0.12
7864751d752e715b4959f9bb4103a9b1,1-510944dda6d746624cd2cefb35a9c41a,0.43,-0.31,0.06
7864751d752e715b4959f9bb4103b578,1-cbae05a4b5429e7ce5a0acc34a73672f,0.37,-0.37,0.06
7864751d752e715b4959f9bb4103b9a6,1-cbae05a4b5429e7ce5a0acc34a73672f,0.37,-0.37,0.06
